round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,1,G,11,0.042,0.041,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0405,0.003,0.0005,
3,1,H,11,0.043,0.041,0.047,0.045,0.039,0.038,0.041,0.04,0.04,0.0385,0.003,0.0025,
3,1,A,12,0.043,0.04,0.049,0.046,0.04,0.039,0.04,0.04,0.04,0.0395,0.003,0.0005,
3,1,B,12,0.04,0.039,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.001,0,
3,1,C,12,0.039,0.038,0.047,0.044,0.039,0.038,0.038,0.038,0.0385,0.038,0.0005,0,
3,1,D,12,0.06,0.054,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.038,0.021,0.016,
3,1,E,12,0.041,0.042,0.047,0.045,0.04,0.039,0.039,0.039,0.0395,0.039,0.0015,0.003,
3,1,F,12,0.041,0.04,0.048,0.046,0.04,0.039,0.04,0.039,0.04,0.039,0.001,0.001,
3,1,G,12,0.049,0.046,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0095,0.0075,
3,1,H,12,0.04,0.039,0.048,0.045,0.04,0.039,0.04,0.04,0.04,0.039,0,0,
3,2,A,1,0.045,0.042,0.049,0.047,0.041,0.04,0.041,0.039,0.041,0.04,0.004,0.002,
3,2,B,1,0.043,0.043,0.048,0.045,0.039,0.038,0.038,0.038,0.0385,0.0385,0.0045,0.0045,
3,2,C,1,0.04,0.041,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.038,0.001,0.003,
3,2,D,1,0.043,0.043,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.0385,0.004,0.0045,
3,2,E,1,0.06,0.088,0.047,0.045,0.04,0.04,0.04,0.04,0.04,0.039,0.02,0.049,
3,2,F,1,0.062,0.06,0.047,0.045,0.04,0.04,0.04,0.039,0.04,0.04,0.022,0.02,
3,2,G,1,0.043,0.042,0.048,0.045,0.04,0.04,0.04,0.039,0.04,0.0395,0.003,0.0025,
3,2,H,1,0.045,0.044,0.052,0.049,0.048,0.047,0.043,0.041,0.0455,0.043,-0.0005,0.001,
3,2,A,2,0.042,0.042,0.049,0.048,0.04,0.04,0.04,0.04,0.04,0.0405,0.002,0.0015,
3,2,B,2,0.041,0.04,0.047,0.045,0.04,0.041,0.038,0.039,0.039,0.0405,0.002,-0.0005,
3,2,C,2,0.049,0.05,0.047,0.044,0.039,0.037,0.039,0.038,0.039,0.038,0.01,0.012,
3,2,D,2,0.042,0.044,0.047,0.045,0.039,0.039,0.039,0.038,0.039,0.0385,0.003,0.0055,
3,2,E,2,0.063,0.051,0.046,0.045,0.038,0.038,0.039,0.04,0.0385,0.038,0.0245,0.013,
3,2,F,2,0.118,0.1,0.047,0.047,0.039,0.04,0.039,0.041,0.039,0.04,0.079,0.06,
3,2,G,2,0.064,0.06,0.047,0.044,0.041,0.038,0.04,0.039,0.0405,0.0395,0.0235,0.0205,
3,2,H,2,0.041,0.04,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0015,0.0015,
3,2,A,3,0.056,0.05,0.051,0.049,0.04,0.04,0.041,0.04,0.0405,0.0395,0.0155,0.0105,
3,2,B,3,0.043,0.057,0.047,0.047,0.038,0.041,0.038,0.04,0.038,0.0405,0.005,0.0165,
3,2,C,3,0.045,0.046,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.006,0.007,
3,2,D,3,0.042,0.04,0.048,0.045,0.041,0.04,0.04,0.038,0.0405,0.039,0.0015,0.001,
3,2,E,3,0.067,0.056,0.047,0.044,0.04,0.039,0.04,0.038,0.04,0.0385,0.027,0.0175,
3,2,F,3,0.043,0.04,0.049,0.045,0.04,0.038,0.041,0.038,0.0405,0.038,0.0025,0.002,
3,2,G,3,0.047,0.044,0.048,0.046,0.04,0.04,0.039,0.039,0.0395,0.039,0.0075,0.005,
3,2,H,3,0.042,0.041,0.047,0.044,0.04,0.038,0.04,0.038,0.04,0.0385,0.002,0.0025,
3,2,A,4,0.07,0.071,0.048,0.047,0.04,0.039,0.041,0.04,0.0405,0.0385,0.0295,0.0325,
3,2,B,4,0.085,0.088,0.049,0.049,0.04,0.041,0.04,0.041,0.04,0.0405,0.045,0.0475,
3,2,C,4,0.055,0.049,0.048,0.044,0.039,0.037,0.04,0.038,0.0395,0.039,0.0155,0.01,
3,2,D,4,0.083,0.074,0.049,0.048,0.04,0.04,0.041,0.041,0.0405,0.039,0.0425,0.035,
3,2,E,4,0.092,0.089,0.048,0.048,0.041,0.043,0.039,0.042,0.04,0.042,0.052,0.047,
3,2,F,4,0.136,0.113,0.047,0.046,0.039,0.04,0.039,0.04,0.039,0.041,0.097,0.072,
3,2,G,4,0.124,0.102,0.049,0.047,0.041,0.042,0.038,0.039,0.0395,0.041,0.0845,0.061,
3,2,H,4,0.117,0.103,0.047,0.044,0.039,0.039,0.041,0.04,0.04,0.039,0.077,0.064,
